"created_at","text","is_retweet","favorite_count","retweet_count","Hour","Day","Date"
2020-08-13 23:26:50,".@DonYoungAK really produces for Alaska. He is an incredible Congressman who loves his State and works tirelessly for it. Strong on Public Lands, Energy, and our Second Amendment. He will never let you down, and has my Complete and Total Endorsement! https://t.co/cUR3zuUfs6",FALSE,18714,5305,23,5,2020-08-13
2020-08-13 23:23:26,"...She will be a great Senator, and has my Complete and Total Endorsement! https://t.co/7yHPhxqQVS",FALSE,14946,3490,23,5,2020-08-13
2020-08-13 23:23:25,".@CynthiaMLummis is a friend of mine and a great woman. She is running for Senate in the very Special State of Wyoming. Cynthia is Strongly for our Military, our Vets, and protection of the Second Amendment...",FALSE,32586,8584,23,5,2020-08-13
2020-08-13 21:27:36,"LIVE: President @realDonaldTrump holds a news conference https://t.co/uWAINTBssk",TRUE,0,5917,21,5,2020-08-13
2020-08-13 18:59:29,"https://t.co/ymvtIzQqoR",FALSE,20131,5303,18,5,2020-08-13
2020-08-13 18:59:28,"https://t.co/BY6PrMRmqJ",FALSE,22491,5979,18,5,2020-08-13
2020-08-13 18:59:26,"https://t.co/mx45DgJgG4",FALSE,23984,6427,18,5,2020-08-13
2020-08-13 18:59:25,"https://t.co/7i9aIfFIJp",FALSE,15649,4769,18,5,2020-08-13
2020-08-13 18:59:23,"https://t.co/YuZ88w0gIF",FALSE,17516,5403,18,5,2020-08-13
2020-08-13 18:59:21,"https://t.co/eDLyAEyeW6",FALSE,44202,12623,18,5,2020-08-13
2020-08-13 18:22:05,"https://t.co/GjE7vZd3SA https://t.co/1Bcbpr1D9d",FALSE,47126,14496,18,5,2020-08-13
2020-08-13 15:50:08,"The world will be laughing and taking full advantage of the United States if Joe Biden ever became President. Our Country would COLLAPSE! https://t.co/lxcyxYL9YC",FALSE,73802,23617,15,5,2020-08-13
2020-08-13 15:47:31,"Great National Champions, thank you Coach O! https://t.co/XD2t79CUyq",FALSE,47865,10203,15,5,2020-08-13
2020-08-13 14:50:42,"HUGE breakthrough today! Historic Peace Agreement between our two GREAT friends, Israel and the United Arab Emirates!",FALSE,264335,60239,14,5,2020-08-13
